Threshold basis,Response,n,Pearson_r,p_value,R2
Empirical (tiered),Physical (Bulk Density),48,0.0834964011966535,0.5726056363040771,0.0069716490127925195
Empirical (tiered),Chemical (pH),48,0.46522057744766154,0.0008631032913080738,0.21643018568073566
Empirical (tiered),Chemical (CEC),48,0.4764325287904655,0.000619009214911015,0.22698795448967773
Empirical (tiered),Ecosystem (NPP),48,0.2214398846811631,0.13038428957911594,0.04903562252760681
Literature 2.0% SOC,Physical (Bulk Density),48,0.5931550290100296,8.881238321770286e-06,0.351832888439889
Literature 2.0% SOC,Chemical (pH),48,0.5931550290100296,8.881238321770286e-06,0.351832888439889
Literature 2.0% SOC,Chemical (CEC),48,0.5931550290100296,8.881238321770286e-06,0.351832888439889
Literature 2.0% SOC,Ecosystem (NPP),48,0.5931550290100296,8.881238321770286e-06,0.351832888439889
Literature 1.1% SOC,Physical (Bulk Density),48,0.3758411154768866,0.008474491344873627,0.1412565440829104
Literature 1.1% SOC,Chemical (pH),48,0.3758411154768866,0.008474491344873627,0.1412565440829104
Literature 1.1% SOC,Chemical (CEC),48,0.3758411154768866,0.008474491344873627,0.1412565440829104
Literature 1.1% SOC,Ecosystem (NPP),48,0.3758411154768866,0.008474491344873627,0.1412565440829104
